text,language
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 9189,en
Now know the Creepy  Shocking Secrets of ur Friends  make ur friends astonished by their own top secretsSMS TOP ur frnd name to 57777 at 3MT eg TOP AMIT,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 9653,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5108,en
Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 3945,en
Important notice: Your tax refund requires urgent attention. Act as soon as possible to avoid issues. Ref: 5416,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 5254,en
Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 6397,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 737,en
Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 3550,en
Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 7837,en
Suspect: Hello this is Officer Johnson from the Social Security Administration. Weve been trying to reach you about a problem with your social security number. Innocent: Oh really What kind of problem Suspect: Its been flagged for suspicious activity and we need to verify some information to clear it up. Innocent: That sounds serious. What kind of suspicious activity Suspect: Im not at liberty to disclose that over the phone but I need you to confirm your social security number so we can proceed with the investigation. Innocent: Im not sure Im comfortable giving out that information over the phone. Can you give me your badge number or something so I can verify who you are Suspect: My badge number is 3456. Now please we dont have much time to waste. Can you just confirm your social security number for me Innocent: Okay let me get my card real quick. Can you tell me more about whats going on with my number Is someone using it illegally or something Suspect: Yes exactly. Someone has been using your number to open credit cards and make purchases. We need to act fast to stop them. Innocent: Wow thats crazy. So how did you guys catch onto this Suspect: We have our ways of monitoring these things. Now can I please get that social security number from you Innocent: Hold on let me just find my card... Oh wait I think I left it in my other wallet. Can I call you back in a few minutes when I find it Suspect: No no no You cant call us back This is a one-time offer to clear up this issue. If you dont cooperate now well have to take further action Innocent: Further action Like what Are you going to send someone to my house or something Suspect: Maybe. Look just give me the number and well take care of everything. Innocent: Okay okay... Let me just go get my card...,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 1867,en
Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 4321,en
Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 7746,en
Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 4202,en
